Date,Price
2024-12-11,25020.0
2024-12-12,25275.0
2024-12-13,25060.0
2024-12-16,24990.0
2024-12-17,24935.0
2024-12-18,24785.0
2024-12-19,24500.0
2024-12-20,24780.0
2024-12-23,24705.0
2024-12-24,24860.0
2024-12-25,24905.0
2024-12-26,24765.0
2024-12-27,25225.0
2024-12-30,25510.0
2025-01-06,25465.0
2025-01-07,25245.0
2025-01-08,25285.0
2025-01-09,25085.0
2025-01-10,24845.0
2025-01-14,24640.0
2025-01-15,24530.0
2025-01-16,24680.0
2025-01-17,24430.0
2025-01-20,24580.0
2025-01-21,24810.0
2025-01-22,24840.0
2025-01-23,24915.0
2025-01-24,25125.0
2025-01-27,25210.0
2025-01-28,25025.0
2025-01-29,25260.0
2025-01-30,25210.0
2025-01-31,25355.0
2025-02-03,24895.0
2025-02-04,25080.0
2025-02-05,24980.0
2025-02-06,24990.0
2025-02-07,24945.0
2025-02-10,24770.0
2025-02-12,24885.0
2025-02-13,24950.0
2025-02-14,25240.0
2025-02-17,25015.0
2025-02-18,25135.0
2025-02-19,25150.0
2025-02-20,24995.0
2025-02-21,24720.0
2025-02-25,24575.0
2025-02-26,24705.0
2025-02-27,24765.0
2025-02-28,24680.0
2025-03-03,24600.0
2025-03-04,24710.0
2025-03-05,24575.0
2025-03-06,24870.0
2025-03-07,24610.0
2025-03-10,24640.0
2025-03-11,24205.0
2025-03-12,24290.0
2025-03-13,24650.0
2025-03-14,24490.0
2025-03-17,24885.0
2025-03-18,25370.0
2025-03-19,25360.0
2025-03-21,25370.0
2025-03-24,25550.0
2025-03-25,25535.0
2025-03-26,25630.0
2025-03-27,25350.0
2025-03-28,25525.0
2025-03-31,25000.0
2025-04-01,24710.0
2025-04-02,24625.0
2025-04-03,23370.0
2025-04-04,22930.0
2025-04-07,21500.0
2025-04-08,22065.0
2025-04-09,21670.0
2025-04-10,23400.0
2025-04-11,21925.0
2025-04-14,22600.0
2025-04-15,22885.0
2025-04-16,22840.0
2025-04-17,22625.0
2025-04-18,23140.0
2025-04-21,23130.0
2025-04-22,22930.0
2025-04-23,23500.0
2025-04-24,23585.0
2025-04-25,23745.0
2025-04-28,24035.0
2025-04-30,24225.0
2025-05-01,24205.0
2025-05-02,24460.0
2025-05-07,24625.0
2025-05-08,24645.0
2025-05-09,24830.0
2025-05-12,25010.0
2025-05-13,25385.0
2025-05-14,25120.0
2025-05-15,24860.0
2025-05-16,24940.0
2025-05-19,24895.0
2025-05-20,25020.0
2025-05-21,24970.0
2025-05-22,24755.0
2025-05-23,24765.0
2025-05-26,24935.0
2025-05-27,24965.0
2025-05-28,25370.0
2025-05-29,25350.0
2025-05-30,25135.0
2025-06-02,25250.0
2025-06-03,25270.0
2025-06-04,25295.0
2025-06-05,25110.0
2025-06-06,25155.0
2025-06-09,25295.0
2025-06-10,25395.0
2025-06-11,25385.0
2025-06-12,25370.0
2025-06-13,25140.0
2025-06-16,25250.0
2025-06-17,25230.0
2025-06-18,25230.0
2025-06-19,25555.0
2025-06-20,25350.0
2025-06-23,25125.0
2025-06-24,25360.0
2025-06-25,25395.0
2025-06-26,25320.0
2025-06-27,25555.0
2025-06-30,26020.0
2025-07-01,25930.0
2025-07-02,25735.0
2025-07-03,25675.0
2025-07-04,25820.0
2025-07-07,25680.0
2025-07-08,25490.0
2025-07-09,25715.0
2025-07-10,25630.0
2025-07-11,25590.0
2025-07-14,25520.0
2025-07-15,25725.0
2025-07-16,25670.0
2025-07-17,25500.0
2025-07-18,25875.0
2025-07-22,25680.0
2025-07-23,26000.0
2025-07-24,26750.0
2025-07-25,26890.0
2025-07-28,26660.0
2025-07-29,26375.0
2025-07-30,26305.0
2025-07-31,26460.0
2025-08-01,26585.0
2025-08-04,26225.0
2025-08-05,26515.0
2025-08-06,26610.0
2025-08-07,26755.0
2025-08-08,27100.0
2025-08-12,27495.0
2025-08-13,27895.0
2025-08-14,27830.0
2025-08-15,27700.0
2025-08-18,28015.0
2025-08-19,28205.0
2025-08-20,28005.0
2025-08-21,27980.0
2025-08-22,27965.0
2025-08-25,28135.0
2025-08-26,27905.0
2025-08-27,27730.0
2025-08-28,27565.0
2025-08-29,27765.0
2025-09-01,27540.0
2025-09-02,27690.0
2025-09-03,27640.0
2025-09-04,27570.0
2025-09-05,27930.0
2025-09-08,28215.0
2025-09-09,28400.0
2025-09-10,28080.0
2025-09-11,28245.0
2025-09-12,28580.0
2025-09-16,28550.0
2025-09-17,28500.0
2025-09-18,28500.0
2025-09-19,28670.0
2025-09-22,28455.0
2025-09-24,28495.0
2025-09-25,28700.0
2025-09-26,28690.0
2025-09-29,28595.0
2025-09-30,28505.0
2025-10-01,28440.0
2025-10-02,28340.0
2025-10-03,28230.0
2025-10-06,30190.0
2025-10-07,29265.0
2025-10-08,29255.0
2025-10-09,29370.0
2025-10-10,29340.0
2025-10-14,28480.0
2025-10-15,28470.0
2025-10-16,28950.0
2025-10-17,28660.0
2025-10-20,29025.0
2025-10-21,29495.0
2025-10-22,29345.0
2025-10-23,29285.0
2025-10-24,29505.0
2025-10-27,29885.0
2025-10-28,29950.0
2025-10-29,29815.0
2025-10-30,29800.0
2025-10-31,30120.0
2025-11-04,30170.0
2025-11-05,29755.0
2025-11-06,29840.0
2025-11-07,29690.0
2025-11-10,29985.0
2025-11-11,30120.0
2025-11-12,30050.0
2025-11-13,30370.0
2025-11-14,29995.0
2025-11-17,30260.0
2025-11-18,30080.0
2025-11-19,29370.0
2025-11-20,29965.0
2025-11-21,29375.0
2025-11-25,30010.0
2025-11-26,29955.0
2025-11-27,30390.0
2025-11-28,30350.0
2025-12-01,30350.0
2025-12-02,30210.0
2025-12-03,30150.0
2025-12-04,30140.0
2025-12-05,30520.0
2025-12-08,30380.0
2025-12-09,30660.0
2025-12-10,30780.0
2025-12-11,30880.0
