Date,Price
2024-12-11,32830.0
2024-12-12,33430.0
2024-12-13,33490.0
2024-12-16,33790.0
2024-12-17,34400.0
2024-12-18,34090.0
2024-12-19,33180.0
2024-12-20,33620.0
2024-12-23,33840.0
2024-12-24,34130.0
2024-12-25,34490.0
2024-12-26,34610.0
2024-12-27,34740.0
2024-12-30,34300.0
2025-01-06,33950.0
2025-01-07,34400.0
2025-01-08,33930.0
2025-01-09,33870.0
2025-01-10,33660.0
2025-01-14,33200.0
2025-01-15,33220.0
2025-01-16,33570.0
2025-01-17,33140.0
2025-01-20,33810.0
2025-01-21,33880.0
2025-01-22,34100.0
2025-01-23,34490.0
2025-01-24,34510.0
2025-01-27,33900.0
2025-01-28,33190.0
2025-01-29,33690.0
2025-01-30,33600.0
2025-01-31,33630.0
2025-02-03,33000.0
2025-02-04,33660.0
2025-02-05,33440.0
2025-02-06,33450.0
2025-02-07,33250.0
2025-02-10,33090.0
2025-02-12,33540.0
2025-02-13,33990.0
2025-02-14,34020.0
2025-02-17,34010.0
2025-02-18,33900.0
2025-02-19,34040.0
2025-02-20,33870.0
2025-02-21,33390.0
2025-02-25,32370.0
2025-02-26,31920.0
2025-02-27,31890.0
2025-02-28,31320.0
2025-03-03,31930.0
2025-03-04,30950.0
2025-03-05,31160.0
2025-03-06,31020.0
2025-03-07,30170.0
2025-03-10,29900.0
2025-03-11,28685.0
2025-03-12,29155.0
2025-03-13,29535.0
2025-03-14,28985.0
2025-03-17,29455.0
2025-03-18,29960.0
2025-03-19,29525.0
2025-03-21,29625.0
2025-03-24,30170.0
2025-03-25,30760.0
2025-03-26,30850.0
2025-03-27,30270.0
2025-03-28,30200.0
2025-03-31,28820.0
2025-04-01,29125.0
2025-04-02,29530.0
2025-04-03,28120.0
2025-04-04,27450.0
2025-04-07,24355.0
2025-04-08,26445.0
2025-04-09,24845.0
2025-04-10,28495.0
2025-04-11,26365.0
2025-04-14,27475.0
2025-04-15,27140.0
2025-04-16,26970.0
2025-04-17,26275.0
2025-04-18,26335.0
2025-04-21,26100.0
2025-04-22,25510.0
2025-04-23,26910.0
2025-04-24,27145.0
2025-04-25,27930.0
2025-04-28,28185.0
2025-04-30,28040.0
2025-05-01,28720.0
2025-05-02,29000.0
2025-05-07,28950.0
2025-05-08,28940.0
2025-05-09,29625.0
2025-05-12,30070.0
2025-05-13,31230.0
2025-05-14,31670.0
2025-05-15,31610.0
2025-05-16,31430.0
2025-05-19,31290.0
2025-05-20,31490.0
2025-05-21,31190.0
2025-05-22,30660.0
2025-05-23,30750.0
2025-05-26,30550.0
2025-05-27,30580.0
2025-05-28,31240.0
2025-05-29,32060.0
2025-05-30,30960.0
2025-06-02,30970.0
2025-06-03,30940.0
2025-06-04,31540.0
2025-06-05,31360.0
2025-06-06,31270.0
2025-06-09,31850.0
2025-06-10,31930.0
2025-06-11,32160.0
2025-06-12,31860.0
2025-06-13,31550.0
2025-06-16,31720.0
2025-06-17,31900.0
2025-06-18,31940.0
2025-06-19,31880.0
2025-06-20,31840.0
2025-06-23,31890.0
2025-06-24,32500.0
2025-06-25,32590.0
2025-06-26,32640.0
2025-06-27,32910.0
2025-06-30,33060.0
2025-07-01,33010.0
2025-07-02,32660.0
2025-07-03,32950.0
2025-07-04,33460.0
2025-07-07,33340.0
2025-07-08,33500.0
2025-07-09,33780.0
2025-07-10,33820.0
2025-07-11,33870.0
2025-07-14,33830.0
2025-07-15,34170.0
2025-07-16,34400.0
2025-07-17,34300.0
2025-07-18,34780.0
2025-07-22,34630.0
2025-07-23,34370.0
2025-07-24,34480.0
2025-07-25,34630.0
2025-07-28,35050.0
2025-07-29,35160.0
2025-07-30,35060.0
2025-07-31,35630.0
2025-08-01,35370.0
2025-08-04,34020.0
2025-08-05,34560.0
2025-08-06,34300.0
2025-08-07,34660.0
2025-08-08,34660.0
2025-08-12,35160.0
2025-08-13,35530.0
2025-08-14,35400.0
2025-08-15,35430.0
2025-08-18,35410.0
2025-08-19,35390.0
2025-08-20,34780.0
2025-08-21,34530.0
2025-08-22,34680.0
2025-08-25,34920.0
2025-08-26,34940.0
2025-08-27,35030.0
2025-08-28,34870.0
2025-08-29,35090.0
2025-09-01,34850.0
2025-09-02,34710.0
2025-09-03,34900.0
2025-09-04,34990.0
2025-09-05,35440.0
2025-09-08,35520.0
2025-09-09,35360.0
2025-09-10,35460.0
2025-09-11,35510.0
2025-09-12,35670.0
2025-09-16,36080.0
2025-09-17,35850.0
2025-09-18,36070.0
2025-09-19,36560.0
2025-09-22,36740.0
2025-09-24,36640.0
2025-09-25,36800.0
2025-09-26,36880.0
2025-09-29,37010.0
2025-09-30,36900.0
2025-10-01,36760.0
2025-10-02,36840.0
2025-10-03,37000.0
2025-10-06,37550.0
2025-10-07,37860.0
2025-10-08,38130.0
2025-10-09,38850.0
2025-10-10,38840.0
2025-10-14,38080.0
2025-10-15,37680.0
2025-10-16,37780.0
2025-10-17,37290.0
2025-10-20,37850.0
2025-10-21,38300.0
2025-10-22,38470.0
2025-10-23,38110.0
2025-10-24,38750.0
2025-10-27,39510.0
2025-10-28,39860.0
2025-10-29,39900.0
2025-10-30,40230.0
2025-10-31,40420.0
2025-11-04,40400.0
2025-11-05,39330.0
2025-11-06,39930.0
2025-11-07,38900.0
2025-11-10,39220.0
2025-11-11,39930.0
2025-11-12,39770.0
2025-11-13,39760.0
2025-11-14,39070.0
2025-11-17,39150.0
2025-11-18,38960.0
2025-11-19,38490.0
2025-11-20,39670.0
2025-11-21,38290.0
2025-11-25,39410.0
2025-11-26,39500.0
2025-11-27,39900.0
2025-11-28,39910.0
2025-12-01,40060.0
2025-12-02,39850.0
2025-12-03,40230.0
2025-12-04,40110.0
2025-12-05,40090.0
2025-12-08,40330.0
2025-12-09,40440.0
2025-12-10,40600.0
2025-12-11,40470.0
