Date,Price
2024-12-11,39357.77
2024-12-12,39849.97
2024-12-13,39624.05
2024-12-16,39551.22
2024-12-17,39589.65
2024-12-18,39176.88
2024-12-19,38522.27
2024-12-20,38950.28
2024-12-23,39040.72
2024-12-24,39210.23
2024-12-25,39168.52
2024-12-26,39129.31
2024-12-27,39672.15
2024-12-30,40325.78
2025-01-06,39945.42
2025-01-07,39584.36
2025-01-08,39879.36
2025-01-09,39888.91
2025-01-10,39550.25
2025-01-14,39010.96
2025-01-15,38721.61
2025-01-16,38732.65
2025-01-17,38454.1
2025-01-20,38671.77
2025-01-21,39163.53
2025-01-22,39355.22
2025-01-23,39810.06
2025-01-24,40060.49
2025-01-27,40127.74
2025-01-28,39400.02
2025-01-29,39273.8
2025-01-30,39302.85
2025-01-31,39574.38
2025-02-03,38932.66
2025-02-04,39078.66
2025-02-05,38979.21
2025-02-06,38977.58
2025-02-07,38907.76
2025-02-10,38736.37
2025-02-12,39049.12
2025-02-13,39225.5
2025-02-14,39419.25
2025-02-17,39094.09
2025-02-18,39187.99
2025-02-19,39230.62
2025-02-20,38942.91
2025-02-21,38523.07
2025-02-25,38359.67
2025-02-26,38143.68
2025-02-27,38251.11
2025-02-28,37853.48
2025-03-03,37617.5
2025-03-04,37532.01
2025-03-05,37345.74
2025-03-06,37654.95
2025-03-07,37198.3
2025-03-10,36972.59
2025-03-11,36584.37
2025-03-12,36763.1
2025-03-13,37081.64
2025-03-14,36606.78
2025-03-17,37453.83
2025-03-18,37868.57
2025-03-19,37839.39
2025-03-21,37619.37
2025-03-24,37841.68
2025-03-25,37953.15
2025-03-26,38106.66
2025-03-27,37750.66
2025-03-28,37357.52
2025-03-31,36440.18
2025-04-01,35961.19
2025-04-02,35751.02
2025-04-03,35041.67
2025-04-04,34304.66
2025-04-07,33154.97
2025-04-08,31729.11
2025-04-09,32529.23
2025-04-10,32321.21
2025-04-11,33951.25
2025-04-14,34006.37
2025-04-15,34349.01
2025-04-16,34249.82
2025-04-17,33987.01
2025-04-18,34353.88
2025-04-21,34556.23
2025-04-22,34111.14
2025-04-23,34787.93
2025-04-24,35194.71
2025-04-25,35387.67
2025-04-28,35962.8
2025-04-30,35946.88
2025-05-01,36197.04
2025-05-02,36636.55
2025-05-07,36903.66
2025-05-08,36863.38
2025-05-09,37332.57
2025-05-12,37697.28
2025-05-13,38149.53
2025-05-14,38199.03
2025-05-15,37832.36
2025-05-16,37748.58
2025-05-19,37572.36
2025-05-20,37723.6
2025-05-21,37590.15
2025-05-22,36931.89
2025-05-23,37161.74
2025-05-26,37209.26
2025-05-27,37523.37
2025-05-28,38094.79
2025-05-29,38046.97
2025-05-30,37912.49
2025-06-02,37651.18
2025-06-03,37598.31
2025-06-04,37686.66
2025-06-05,37590.39
2025-06-06,37590.44
2025-06-09,38028.71
2025-06-10,38278.17
2025-06-11,38431.1
2025-06-12,38324.93
2025-06-13,38130.25
2025-06-16,38056.86
