Date,Price
2024-12-11,501.9
2024-12-12,503.0
2024-12-13,498.5
2024-12-16,502.8
2024-12-17,498.2
2024-12-18,494.9
2024-12-19,485.4
2024-12-20,491.6
2024-12-23,489.1
2024-12-24,491.6
2024-12-25,493.2
2024-12-26,494.2
2024-12-27,500.4
2024-12-30,505.0
2025-01-06,502.5
2025-01-07,498.9
2025-01-08,497.0
2025-01-09,498.6
2025-01-10,498.1
2025-01-14,500.2
2025-01-15,498.7
2025-01-16,496.3
2025-01-17,488.3
2025-01-20,488.4
2025-01-21,493.0
2025-01-22,495.0
2025-01-23,492.9
2025-01-24,487.1
2025-01-27,502.8
2025-01-28,497.7
2025-01-29,505.0
2025-01-30,514.5
2025-01-31,510.0
2025-02-03,507.4
2025-02-04,504.5
2025-02-05,507.0
2025-02-06,510.8
2025-02-07,524.2
2025-02-10,526.9
2025-02-12,539.6
2025-02-13,543.8
2025-02-14,537.4
2025-02-17,533.0
2025-02-18,538.4
2025-02-19,539.2
2025-02-20,534.0
2025-02-21,533.2
2025-02-25,521.7
2025-02-26,527.9
2025-02-27,522.9
2025-02-28,518.1
2025-03-03,519.2
2025-03-04,514.5
2025-03-05,504.1
2025-03-06,510.3
2025-03-07,503.8
2025-03-10,498.3
2025-03-11,496.0
2025-03-12,503.5
2025-03-13,516.6
2025-03-14,513.8
2025-03-17,523.7
2025-03-18,525.7
2025-03-19,520.2
2025-03-21,522.8
2025-03-24,524.0
2025-03-25,524.3
2025-03-26,527.6
2025-03-27,524.0
2025-03-28,525.0
2025-03-31,514.7
2025-04-01,512.4
2025-04-02,502.0
2025-04-03,485.0
2025-04-04,482.9
2025-04-07,433.0
2025-04-08,452.9
2025-04-09,455.0
2025-04-10,491.6
2025-04-11,469.1
2025-04-14,500.2
2025-04-15,502.7
2025-04-16,503.6
2025-04-17,494.4
2025-04-18,510.7
2025-04-21,525.9
2025-04-22,522.2
2025-04-23,528.4
2025-04-24,521.9
2025-04-25,520.7
2025-04-28,527.0
2025-04-30,528.7
2025-05-01,532.0
2025-05-02,533.2
2025-05-07,531.6
2025-05-08,532.9
2025-05-09,528.8
2025-05-12,535.3
2025-05-13,544.0
2025-05-14,543.1
2025-05-15,543.6
2025-05-16,558.0
2025-05-19,555.7
2025-05-20,563.0
2025-05-21,568.0
2025-05-22,555.0
2025-05-23,565.5
2025-05-26,565.4
2025-05-27,573.2
2025-05-28,579.8
2025-05-29,585.2
2025-05-30,578.0
2025-06-02,584.9
2025-06-03,586.8
2025-06-04,599.5
2025-06-05,602.2
2025-06-06,591.1
2025-06-09,588.6
2025-06-10,590.5
2025-06-11,602.9
2025-06-12,600.1
2025-06-13,604.0
2025-06-16,592.0
2025-06-17,600.1
2025-06-18,593.7
2025-06-19,600.0
2025-06-20,593.4
2025-06-23,582.2
2025-06-24,593.9
2025-06-25,595.0
2025-06-26,590.7
2025-06-27,581.1
2025-06-30,574.9
2025-07-01,586.5
2025-07-02,570.0
2025-07-03,561.0
2025-07-04,559.5
2025-07-07,557.6
2025-07-08,563.3
2025-07-09,577.7
2025-07-10,584.7
2025-07-11,588.9
2025-07-14,583.9
2025-07-15,588.0
2025-07-16,572.2
2025-07-17,578.1
2025-07-18,587.4
2025-07-22,583.5
2025-07-23,588.0
2025-07-24,597.3
2025-07-25,594.0
2025-07-28,599.4
2025-07-29,595.0
2025-07-30,590.0
2025-07-31,593.1
2025-08-01,596.3
2025-08-04,587.7
2025-08-05,601.3
2025-08-06,606.6
2025-08-07,605.0
2025-08-08,613.2
2025-08-12,615.0
2025-08-13,611.0
2025-08-14,607.1
2025-08-15,616.4
2025-08-18,621.6
2025-08-19,629.7
2025-08-20,627.8
2025-08-21,619.2
2025-08-22,619.8
2025-08-25,622.7
2025-08-26,617.7
2025-08-27,616.5
2025-08-28,610.8
2025-08-29,609.2
2025-09-01,607.5
2025-09-02,612.2
2025-09-03,604.7
2025-09-04,594.0
2025-09-05,600.1
2025-09-08,606.0
2025-09-09,611.1
2025-09-10,607.1
2025-09-11,608.1
2025-09-12,596.1
2025-09-16,601.3
2025-09-17,600.5
2025-09-18,602.1
2025-09-19,601.7
2025-09-22,612.8
2025-09-24,607.6
2025-09-25,602.6
2025-09-26,597.1
2025-09-29,600.2
2025-09-30,593.0
2025-10-01,580.2
2025-10-02,569.0
2025-10-03,561.3
2025-10-06,594.1
2025-10-07,595.1
2025-10-08,591.7
2025-10-09,596.0
2025-10-10,596.8
2025-10-14,576.3
2025-10-15,569.3
2025-10-16,587.0
2025-10-17,572.2
2025-10-20,566.1
2025-10-21,580.0
2025-10-22,572.8
2025-10-23,572.7
2025-10-24,577.0
2025-10-27,579.3
2025-10-28,580.0
2025-10-29,566.5
2025-10-30,550.1
2025-10-31,558.7
2025-11-04,561.4
2025-11-05,556.0
2025-11-06,558.0
2025-11-07,550.0
2025-11-10,551.1
2025-11-11,563.5
2025-11-12,559.0
2025-11-13,570.3
2025-11-14,560.2
2025-11-17,555.4
2025-11-18,545.4
2025-11-19,534.7
2025-11-20,538.5
2025-11-21,525.3
2025-11-25,538.8
2025-11-26,529.2
2025-11-27,536.9
2025-11-28,546.9
2025-12-01,550.8
2025-12-02,537.9
2025-12-03,523.9
2025-12-04,517.7
2025-12-05,521.2
2025-12-08,523.0
2025-12-09,523.6
2025-12-10,526.1
2025-12-11,523.3
