Date,Price
2024-12-11,24147.810546875
2024-12-12,24186.37109375
2024-12-13,24075.513671875
2024-12-16,24012.853515625
2024-12-17,23940.552734375
2024-12-18,23906.814453125
2024-12-19,23810.416015625
2024-12-20,23704.37890625
2024-12-23,23926.095703125
2024-12-24,23906.814453125
2024-12-25,23848.9765625
2024-12-26,24171.91015625
2024-12-27,24571.96484375
2024-12-30,24446.64453125
2025-01-06,24167.091796875
2025-01-07,24427.3671875
2025-01-08,24244.208984375
2025-01-09,24099.611328125
2025-01-10,23868.25390625
2025-01-14,23559.78125
2025-01-15,23526.041015625
2025-01-16,23564.6015625
2025-01-17,23521.22265625
2025-01-20,23434.462890625
2025-01-21,23689.91796875
2025-01-22,23964.654296875
2025-01-23,24128.533203125
2025-01-24,24085.15234375
2025-01-27,24244.208984375
2025-01-28,24220.109375
2025-01-29,24388.806640625
2025-01-30,24340.609375
2025-01-31,24210.470703125
2025-02-03,24075.513671875
2025-02-04,23950.1953125
2025-02-05,24003.212890625
2025-02-06,24085.15234375
2025-02-07,23974.294921875
2025-02-10,23998.39453125
2025-02-12,23873.076171875
2025-02-13,24239.390625
2025-02-14,24186.37109375
2025-02-17,24186.37109375
2025-02-18,24244.208984375
2025-02-19,24152.630859375
2025-02-20,23897.17578125
2025-02-21,23955.013671875
2025-02-25,23921.275390625
2025-02-26,23863.435546875
2025-02-27,24003.212890625
2025-02-28,23588.69921875
2025-03-03,23940.552734375
2025-03-04,23742.9375
2025-03-05,23901.99609375
2025-03-06,24075.513671875
2025-03-07,23704.37890625
2025-03-10,23685.099609375
2025-03-11,23612.798828125
2025-03-12,23661.0
2025-03-13,23646.541015625
2025-03-14,23877.89453125
2025-03-17,24118.890625
2025-03-18,24374.34765625
2025-03-19,24470.74609375
2025-03-21,24600.8828125
2025-03-24,24509.3046875
2025-03-25,24514.125
2025-03-26,24610.5234375
2025-03-27,24658.72265625
2025-03-28,24490.02734375
2025-03-31,24571.96484375
2025-04-01,23627.259765625
2025-04-02,23545.322265625
2025-04-03,22918.73046875
2025-04-04,22373.90625
2025-04-07,21242.9921875
2025-04-08,21935.58984375
2025-04-09,21193.521484375
2025-04-10,22380.83203125
2025-04-11,22054.322265625
2025-04-14,22445.14453125
2025-04-15,22588.611328125
2025-04-16,22301.677734375
2025-04-17,22786.498046875
2025-04-18,23014.06640625
2025-04-21,22761.76171875
2025-04-22,22766.708984375
2025-04-23,23172.375
2025-04-24,23315.841796875
2025-04-25,23543.408203125
2025-04-28,23766.029296875
2025-04-30,23929.28515625
2025-05-01,24018.333984375
2025-05-02,24171.6953125
2025-05-07,24295.373046875
2025-05-08,24339.8984375
2025-05-09,24607.04296875
2025-05-12,24661.4609375
2025-05-13,24691.14453125
2025-05-14,24715.87890625
2025-05-15,24607.04296875
2025-05-16,24621.884765625
2025-05-19,24498.205078125
2025-05-20,24542.73046875
2025-05-21,24567.46484375
2025-05-22,24419.05078125
2025-05-23,24587.25390625
2025-05-26,24745.5625
2025-05-27,24889.029296875
2025-05-28,24898.923828125
2025-05-29,25235.328125
2025-05-30,25220.48828125
2025-06-02,24933.552734375
2025-06-03,24933.552734375
2025-06-04,24973.130859375
2025-06-05,24715.87890625
2025-06-06,24874.1875
2025-06-09,24997.8671875
2025-06-10,24983.025390625
2025-06-11,25027.548828125
2025-06-12,25022.6015625
2025-06-13,24834.611328125
2025-06-16,24953.341796875
2025-06-17,25057.232421875
2025-06-18,25260.064453125
2025-06-19,25215.541015625
2025-06-20,24968.18359375
2025-06-23,24819.76953125
2025-06-24,24973.130859375
2025-06-25,25027.548828125
2025-06-26,25086.9140625
2025-06-27,25492.580078125
2025-06-30,25675.623046875
2025-07-01,25433.21484375
2025-07-02,25363.955078125
2025-07-03,25398.583984375
2025-07-04,25413.42578125
2025-07-07,25151.2265625
2025-07-08,25309.53515625
2025-07-09,25413.42578125
2025-07-10,25171.015625
2025-07-11,25339.21875
2025-07-14,25319.4296875
2025-07-15,25265.01171875
