Date,Price
2024-12-11,32666.275390625
2024-12-12,33393.30078125
2024-12-13,33433.13671875
2024-12-16,33721.953125
2024-12-17,34259.75390625
2024-12-18,34000.8125
2024-12-19,33124.3984375
2024-12-20,33144.3203125
2024-12-23,33811.5859375
2024-12-24,33970.93359375
2024-12-25,34448.9765625
2024-12-26,34558.53125
2024-12-27,34439.01953125
2024-12-30,34140.2421875
2025-01-06,33951.015625
2025-01-07,34160.16015625
2025-01-08,33861.3828125
2025-01-09,33662.19921875
2025-01-10,33662.19921875
2025-01-14,33194.11328125
2025-01-15,32955.09375
2025-01-16,33492.890625
2025-01-17,33174.1953125
2025-01-20,33662.19921875
2025-01-21,33632.3203125
2025-01-22,34070.52734375
2025-01-23,34339.42578125
2025-01-24,34190.0390625
2025-01-27,33423.17578125
2025-01-28,33184.15625
2025-01-29,33642.28125
2025-01-30,33562.60546875
2025-01-31,33682.1171875
2025-02-03,32745.94921875
2025-02-04,33233.953125
2025-02-05,33094.5234375
2025-02-06,33333.54296875
2025-02-07,33164.23828125
2025-02-10,33074.60546875
2025-02-12,33532.73046875
2025-02-13,33811.5859375
2025-02-14,33851.42578125
2025-02-17,33871.34375
2025-02-18,33951.015625
2025-02-19,33871.34375
2025-02-20,33403.2578125
2025-02-21,33463.015625
2025-02-25,32257.947265625
2025-02-26,31959.169921875
2025-02-27,31989.048828125
2025-02-28,31142.513671875
2025-03-03,31720.1484375
2025-03-04,30903.4921875
2025-03-05,30893.533203125
2025-03-06,30903.4921875
2025-03-07,29917.52734375
2025-03-10,29857.7734375
2025-03-11,28916.625
2025-03-12,29001.279296875
2025-03-13,28916.625
2025-03-14,29046.095703125
2025-03-17,29339.892578125
2025-03-18,29817.935546875
2025-03-19,29509.19921875
2025-03-21,29638.669921875
2025-03-24,30056.95703125
2025-03-25,30564.87890625
2025-03-26,30764.0625
2025-03-27,30226.263671875
2025-03-28,30116.712890625
2025-03-31,28582.9921875
2025-04-01,29011.23828125
2025-04-02,29329.93359375
2025-04-03,28090.009765625
2025-04-04,27243.474609375
2025-04-07,24245.74609375
2025-04-08,26187.796875
2025-04-09,24678.97265625
2025-04-10,28045.193359375
2025-04-11,27004.453125
2025-04-14,27213.59765625
2025-04-15,27064.208984375
2025-04-16,26466.654296875
2025-04-17,26606.083984375
2025-04-18,26297.34765625
2025-04-21,25699.794921875
2025-04-22,25316.36328125
2025-04-23,26645.921875
2025-04-24,26860.044921875
2025-04-25,27990.41796875
2025-04-28,28045.193359375
2025-04-30,27970.498046875
2025-05-01,28851.890625
2025-05-02,28986.33984375
2025-05-07,28632.787109375
2025-05-08,29170.5859375
2025-05-09,29454.423828125
2025-05-12,30146.58984375
2025-05-13,30963.248046875
2025-05-14,31471.16796875
2025-05-15,31262.0234375
2025-05-16,31172.390625
2025-05-19,30943.328125
2025-05-20,31062.83984375
2025-05-21,30744.14453125
2025-05-22,30455.326171875
2025-05-23,30465.28515625
2025-05-26,30495.1640625
2025-05-27,30564.87890625
2025-05-28,31142.513671875
2025-05-29,31929.29296875
2025-05-30,30933.369140625
2025-06-02,30574.837890625
2025-06-03,30833.77734375
2025-06-04,31421.37109375
2025-06-05,31351.658203125
2025-06-06,31421.37109375
2025-06-09,31590.6796875
2025-06-10,31789.86328125
2025-06-11,32018.92578125
2025-06-12,31610.59765625
2025-06-13,31232.146484375
2025-06-16,31600.638671875
2025-06-17,31929.29296875
2025-06-18,31839.66015625
2025-06-19,31660.392578125
2025-06-20,31839.66015625
2025-06-23,32088.640625
2025-06-24,32407.3359375
2025-06-25,32506.927734375
2025-06-26,32506.927734375
2025-06-27,32765.8671875
2025-06-30,32915.2578125
2025-07-01,32765.8671875
2025-07-02,32716.072265625
2025-07-03,32885.37890625
2025-07-04,33134.359375
2025-07-07,33243.91015625
2025-07-08,33512.80859375
2025-07-09,33602.4453125
2025-07-10,33642.28125
