ticker,name,provider,category,expense_ratio
1498.T,Ｏｎｅ　ＥＴＦ　ＥＳＧ,アセットマネジメントＯｎｅ株式会社,その他,0.0013
1484.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,アセットマネジメントＯｎｅ株式会社,国内株式,0.00165
1474.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,アセットマネジメントＯｎｅ株式会社,国内株式,0.0017000000000000001
1493.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,アセットマネジメントＯｎｅ株式会社,国内株式,0.005
1494.T,Ｏｎｅ　ＥＴＦ　高配当日本株,アセットマネジメントＯｎｅ株式会社,国内株式,0.0028000000000000004
2556.T,Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数,アセットマネジメントＯｎｅ株式会社,REIT,0.00155
1473.T,Ｏｎｅ　ＥＴＦ　トピックス,アセットマネジメントＯｎｅ株式会社,その他,0.00045
2553.T,Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００,アセットマネジメントＯｎｅ株式会社,海外株式,0.0044
1369.T,Ｏｎｅ　ＥＴＦ　日経２２５,アセットマネジメントＯｎｅ株式会社,国内株式,0.00045
2845.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信,野村アセットマネジメント株式会社,海外株式,0.002
2634.T,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジあり）連動型上場投信,野村アセットマネジメント株式会社,海外株式,0.0007000000000000001
2633.T,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジなし）連動型上場投信,野村アセットマネジメント株式会社,海外株式,0.0006
2515.T,ＮＥＸＴ　ＦＵＮＤＳ　外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信,野村アセットマネジメント株式会社,REIT,0.0017000000000000001
2514.T,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジあり）連動型上場投信,野村アセットマネジメント株式会社,海外株式,0.0017000000000000001
2513.T,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジなし）連動型上場投信,野村アセットマネジメント株式会社,海外株式,0.0017000000000000001
2512.T,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信,野村アセットマネジメント株式会社,債券,0.0012
2511.T,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信,野村アセットマネジメント株式会社,債券,0.0012
