2511.T,2512.T,2853.T,1484.T,1364.T,1474.T,1493.T,1591.T,1592.T,1593.T,1599.T,159A.T,2017.T,2526.T,2567.T,1328.T,1632.T,1399.T,1478.T,1489.T,1494.T,1577.T,1651.T,2011.T,2084.T,2085.T,235A.T,2849.T,1681.T,2520.T,1477.T,1554.T,1657.T,2250.T,234A.T,2518.T,2564.T,2636.T,2643.T,2848.T,2851.T,1545.T,2087.T,2568.T,2569.T,2840.T,2841.T,2845.T,1547.T,1655.T,2086.T,2247.T,2248.T,2521.T,2558.T,2563.T,2630.T,2633.T,2634.T,1630.T,2092.T,2246.T,2259.T,2861.T,2862.T,181A.T,182A.T,183A.T,2015.T,2016.T,2090.T,2245.T,2647.T,2648.T,2838.T,2839.T,1626.T,1486.T,1487.T,1566.T,2256.T,2510.T,2519.T,2622.T,2527.T,2528.T,1343.T,1345.T,1398.T,1488.T,1555.T,1595.T,2018.T,2515.T,2552.T,2555.T,2556.T,2864.T,1698.T,1476.T,1597.T,1660.T,2096.T,2097.T,2098.T,210A.T,2517.T,2565.T,2852.T,2855.T
,,,,,,,,,,,,,,,,9849.4365234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8048.1689453125,,,,,,,,,,,,,,,,,9070.4951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10188.0322265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8362.845703125,,,,,,,,,,,,,,,,,9227.9033203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10100.18359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8353.7607421875,,,,,,,,,,,,,,,,,9265.6220703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10068.3798828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8474.638671875,,,,,,,,,,,,,,,,,9316.3994140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10107.4013671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8530.6171875,,,,,,,,,,,,,,,,,9449.2255859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9907.7294921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8582.99609375,,,,,,,,,,,,,,,,,9361.935546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9946.7509765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8761.734375,,,,,,,,,,,,,,,,,9485.736328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9765.5361328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718.7666015625,,,,,,,,,,,,,,,,,9282.38671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10022.0712890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8964.9443359375,,,,,,,,,,,,,,,,,9351.703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10783.37109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9236.8994140625,,,,,,,,,,,,,,,,,9591.72265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11168.8876953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9211.693359375,,,,,,,,,,,,,,,,,9727.5322265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11079.5419921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9189.5927734375,,,,,,,,,,,,,,,,,9715.923828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11254.4248046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9306.30078125,,,,,,,,,,,,,,,,,9901.7841796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10940.7509765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9058.404296875,,,,,,,,,,,,,,,,,9788.5419921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10655.3408203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8866.1611328125,,,,,,,,,,,,,,,,,9693.7578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10490.9453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8733.0908203125,,,,,,,,,,,,,,,,,9644.91796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10660.583984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9172.326171875,,,,,,,,,,,,,,,,,9820.7822265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10295.904296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9105.7099609375,,,,,,,,,,,,,,,,,9583.26171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10509.5361328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9239.6005859375,,,,,,,,,,,,,,,,,9545.0556640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10669.916015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9280.9287109375,,,,,,,,,,,,,,,,,9556.9052734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10824.5703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9305.3984375,,,,,,,,,,,,,,,,,9596.2353515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10907.7900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9439.1240234375,,,,,,,,,,,,,,,,,9711.4912109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11114.61328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9374.146484375,,,,,,,,,,,,,,,,,9866.9638671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10856.1689453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9287.884765625,,,,,,,,,,,,,,,,,9809.337890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10820.0078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9288.9482421875,,,,,,,,,,,,,,,,,9844.3984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10747.546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9228.4677734375,,,,,,,,,,,,,,,,,9792.2509765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11275.673828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9537.087890625,,,,,,,,,,,,,,,,,9826.748046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11843.8369140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9626.62109375,,,,,,,,,,,,,,,,,9742.6826171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11977.451171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9597.076171875,,,,,,,,,,,,,,,,,9720.9208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11770.42578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9464.416015625,,,,,,,,,,,,,,,,,9689.890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12302.1572265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9642.0078125,,,,,,,,,,,,,,,,,9819.0908203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12317.0712890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9720.3291015625,,,,,,,,,,,,,,,,,9863.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
