Date,1540.T,1541.T,1542.T,1543.T
2023-12-11,,3935.0,,42500.0
2023-12-12,,3935.0,,42520.0
2023-12-13,,3975.0,,42500.0
2023-12-14,,3940.0,,43120.0
2023-12-15,,3975.0,,45910.0
2023-12-18,,3975.0,,48880.0
2023-12-19,,3970.0,,49550.0
2023-12-20,,4015.0,,51300.0
2023-12-21,,4030.0,,49250.0
2023-12-22,,3995.0,,49450.0
2023-12-25,,4015.0,,49110.0
2023-12-26,,4015.0,,48710.0
2023-12-27,,4035.0,,48150.0
2023-12-28,,4085.0,,46210.0
2023-12-29,,4115.0,,45270.0
2024-01-04,,4060.0,,44690.0
2024-01-05,,4025.0,,44010.0
2024-01-09,,3995.0,,43170.0
2024-01-10,,3960.0,,43140.0
2024-01-11,,3975.0,,44350.0
2024-01-12,,3955.0,,44560.0
2024-01-15,,3945.0,,44420.0
2024-01-16,,3980.0,,43440.0
2024-01-17,,3960.0,,42650.0
2024-01-18,,3945.0,,42310.0
2024-01-19,,3990.0,,42760.0
2024-01-22,,3970.0,,43350.0
2024-01-23,,3985.0,,43620.0
2024-01-24,,3965.0,,42740.0
2024-01-25,,3960.0,,43200.0
2024-01-26,,3955.0,,42620.0
2024-01-29,,3985.0,,42650.0
2024-01-30,,4020.0,,43300.0
2024-01-31,,4020.0,,42710.0
2024-02-01,,3975.0,,42750.0
2024-02-02,,3975.0,,42650.0
2024-02-05,,3985.0,,42300.0
2024-02-06,,3965.0,,42800.0
2024-02-07,,3970.0,,42200.0
2024-02-08,,3935.0,,40110.0
2024-02-09,,3955.0,,40500.0
2024-02-13,,3965.0,,40500.0
2024-02-14,,3940.0,,39500.0
2024-02-15,,3965.0,,41920.0
2024-02-16,,3960.0,,42300.0
2024-02-19,,3985.0,,42570.0
2024-02-20,,3965.0,,42080.0
2024-02-21,,3970.0,,43400.0
2024-02-22,,3940.0,,43400.0
2024-02-26,,3950.0,,43320.0
2024-02-27,,3945.0,,42380.0
2024-02-28,,3935.0,,41820.0
2024-02-29,,3940.0,,41700.0
2024-03-01,,3930.0,,41950.0
2024-03-04,,3935.0,,42060.0
2024-03-05,,3935.0,,42250.0
2024-03-06,,3935.0,,42280.0
2024-03-07,,3960.0,,44200.0
2024-03-08,,3990.0,,44300.0
2024-03-11,,3960.0,,43510.0
2024-03-12,,3995.0,,43960.0
2024-03-13,,3990.0,,43800.0
2024-03-14,,4020.0,,44500.0
2024-03-15,,4010.0,,45420.0
2024-03-18,,4000.0,,45000.0
2024-03-19,,3985.0,,43510.0
2024-03-21,,4005.0,,44120.0
2024-03-22,,3975.0,,43090.0
2024-03-25,,3980.0,,42940.0
2024-03-26,,3985.0,,43540.0
2024-03-27,,3990.0,,43200.0
2024-03-28,,3990.0,,43550.0
2024-03-29,,3990.0,,43840.0
2024-04-01,,4005.0,,44070.0
2024-04-02,,4015.0,,43610.0
2024-04-03,,4120.0,,44060.0
2024-04-04,,4165.0,,45160.0
2024-04-05,,4070.0,,44650.0
2024-04-08,,4100.0,,44450.0
2024-04-09,,4315.0,,47000.0
2024-04-10,,4335.0,,48770.0
2024-04-11,,4325.0,,47660.0
2024-04-12,,4455.0,,47500.0
2024-04-15,,4410.0,,47320.0
2024-04-16,,4355.0,,46400.0
2024-04-17,,4260.0,,46030.0
2024-04-18,,4195.0,,46410.0
