BAMLH0A0HYM2EY,DGS10
4.54,0.9
4.54,0.92
4.54,0.92
4.54,0.94
4.53,0.95
4.67,0.95
4.6,0.93
4.56,0.96
4.54,0.94
4.37,0.94
4.33,0.94
4.34,0.93
4.34,0.93
4.4,0.93
4.41,0.96
4.36,1.04
4.36,1.08
4.35,1.13
4.43,1.15
4.47,1.15
4.41,1.1
4.33,1.15
4.32,1.11
4.31,1.11
4.28,1.1
4.24,1.1
4.22,1.12
4.32,1.1
4.29,1.05
4.28,1.05
4.38,1.04
4.31,1.07
4.35,1.11
4.41,1.11
4.39,1.09
4.33,1.12
4.27,1.15
4.23,1.15
4.18,1.19
4.15,1.19
4.12,1.18
4.1,1.15
4.09,1.16
4.1,1.2
4.08,1.2
4.09,1.3
4.12,1.29
4.13,1.29
4.12,1.34
4.17,1.37
4.19,1.37
4.16,1.38
4.3,1.54
4.37,1.44
4.46,1.44
4.38,1.45
4.34,1.42
4.36,1.47
4.45,1.54
4.52,1.56
4.53,1.59
4.54,1.55
4.53,1.53
4.41,1.54
4.51,1.64
4.5,1.62
4.49,1.62
4.57,1.63
4.66,1.71
4.67,1.74
4.55,1.69
4.51,1.63
4.43,1.62
4.45,1.63
4.44,1.67
4.42,1.73
4.43,1.73
4.42,1.74
4.35,1.69
4.35,1.72
4.3,1.73
4.25,1.67
4.21,1.68
4.18,1.64
4.23,1.67
4.25,1.69
4.28,1.64
4.23,1.64
4.16,1.56
4.16,1.59
4.2,1.61
4.27,1.58
4.26,1.57
4.26,1.57
4.22,1.58
4.19,1.58
4.22,1.63
4.22,1.63
4.2,1.65
4.28,1.65
4.24,1.63
4.27,1.61
4.23,1.59
4.23,1.58
4.2,1.6
4.2,1.63
4.31,1.64
4.35,1.69
4.36,1.66
4.32,1.63
4.32,1.64
4.31,1.64
4.4,1.68
4.38,1.63
4.33,1.63
4.31,1.61
4.25,1.56
4.27,1.58
4.24,1.61
4.22,1.58
4.29,1.58
4.29,1.62
4.26,1.59
4.26,1.63
4.21,1.56
4.2,1.57
4.16,1.53
4.1,1.5
4.1,1.45
4.08,1.47
4.08,1.51
4.08,1.51
4.1,1.57
4.12,1.52
4.14,1.45
4.11,1.5
4.1,1.48
4.09,1.5
4.05,1.49
4.04,1.54
4.01,1.49
3.99,1.49
4.01,1.45
4.01,1.48
3.99,1.44
3.98,1.44
3.95,1.37
3.92,1.33
3.97,1.3
3.95,1.37
3.94,1.38
3.97,1.42
3.99,1.37
3.99,1.31
4.04,1.31
4.21,1.19
4.15,1.23
4.07,1.3
4.04,1.27
4.03,1.3
4.02,1.29
4.05,1.25
4.07,1.26
4.04,1.28
4.04,1.24
4.12,1.24
4.11,1.2
4.16,1.19
4.19,1.19
4.17,1.23
4.17,1.31
4.21,1.33
4.21,1.36
4.26,1.35
4.24,1.36
4.22,1.29
4.2,1.26
4.2,1.26
4.19,1.27
4.24,1.24
4.21,1.26
4.17,1.25
4.12,1.29
4.1,1.35
4.09,1.34
4.02,1.31
3.99,1.29
4.07,1.3
4.05,1.31
4.02,1.29
4.01,1.33
4.0,1.33
4.06,1.38
4.04,1.35
4.01,1.3
4.0,1.35
3.97,1.33
3.95,1.28
3.94,1.31
3.96,1.34
3.96,1.37
4.11,1.31
4.06,1.33
4.0,1.32
4.0,1.41
4.05,1.47
4.09,1.48
4.17,1.54
4.14,1.55
4.21,1.52
4.2,1.48
4.23,1.49
4.22,1.54
4.34,1.53
4.28,1.58
4.32,1.61
4.31,1.61
4.4,1.59
4.37,1.56
4.27,1.52
4.27,1.59
4.29,1.59
4.27,1.65
4.25,1.65
4.26,1.68
4.3,1.66
4.31,1.64
4.28,1.63
4.26,1.54
4.26,1.57
4.27,1.55
4.36,1.55
4.38,1.58
4.39,1.56
4.39,1.6
4.33,1.53
4.21,1.45
4.17,1.51
4.17,1.46
4.27,1.56
4.27,1.56
4.32,1.58
4.36,1.63
4.39,1.63
4.41,1.6
4.42,1.59
4.44,1.54
4.47,1.63
4.6,1.67
4.64,1.64
4.64,1.64
4.8,1.48
4.71,1.52
4.82,1.43
4.73,1.43
4.74,1.44
4.67,1.35
4.61,1.43
4.39,1.48
4.47,1.52
4.5,1.49
4.53,1.48
4.52,1.42
4.57,1.44
4.57,1.47
4.49,1.44
4.53,1.41
4.58,1.43
4.49,1.48
4.42,1.46
4.36,1.5
4.26,1.48
4.26,1.49
4.3,1.55
4.34,1.52
4.35,1.52
4.42,1.63
4.46,1.66
4.5,1.71
4.62,1.73
4.69,1.76
4.76,1.78
4.67,1.75
4.54,1.74
4.57,1.7
4.62,1.78
4.62,1.78
4.74,1.87
4.69,1.83
4.68,1.83
4.8,1.75
4.93,1.75
4.92,1.78
4.86,1.85
5.04,1.81
5.19,1.78
5.22,1.79
5.11,1.81
5.03,1.78
5.14,1.82
5.31,1.93
5.33,1.92
5.31,1.96
5.22,1.94
5.35,2.03
5.5,1.92
5.62,1.98
5.58,2.05
5.57,2.03
5.56,1.97
5.58,1.92
5.58,1.92
5.58,1.94
5.57,1.99
5.72,1.96
5.48,1.97
5.5,1.83
5.46,1.72
5.47,1.86
5.46,1.86
5.55,1.74
5.71,1.78
5.82,1.86
5.81,1.94
5.93,1.98
5.99,2.0
6.23,2.14
6.28,2.15
6.1,2.19
5.94,2.2
5.9,2.14
5.95,2.32
6.03,2.38
6.0,2.32
5.98,2.34
6.0,2.48
6.02,2.46
5.79,2.41
5.7,2.35
5.79,2.32
5.86,2.39
5.8,2.42
5.88,2.54
6.1,2.61
6.16,2.66
6.26,2.72
6.45,2.79
